period,gdp,truck_sales
2/29/1992 0:00,6376.54293,3931
3/31/1992 0:00,6436.58603,4227
4/30/1992 0:00,6464.83552,4278
5/31/1992 0:00,6450.00784,4564
6/30/1992 0:00,6562.05364,4373
7/31/1992 0:00,6578.98108,5036
8/31/1992 0:00,6577.72419,4343
9/30/1992 0:00,6602.93874,4222
10/31/1992 0:00,6658.81722,4585
11/30/1992 0:00,6688.03134,4622
12/31/1992 0:00,6745.81044,4595
1/31/1993 0:00,6737.18526,4850
2/28/1993 0:00,6753.57123,4817
3/31/1993 0:00,6753.7895,4758
4/30/1993 0:00,6789.0422,4810
5/31/1993 0:00,6840.21946,4914
6/30/1993 0:00,6859.52034,5087
7/31/1993 0:00,6854.73201,5081
8/31/1993 0:00,6896.52313,4459
9/30/1993 0:00,6961.41085,4721
10/31/1993 0:00,6962.29036,5431
11/30/1993 0:00,7051.23102,5249
12/31/1993 0:00,7085.01063,5292
1/31/1994 0:00,7094.76075,5777
2/28/1994 0:00,7143.62182,5580
3/31/1994 0:00,7170.39444,5568
4/30/1994 0:00,7209.5982,5808
5/31/1994 0:00,7314.67109,5844
6/30/1994 0:00,7285.27171,5885
7/31/1994 0:00,7319.85409,6013
8/31/1994 0:00,7372.48124,6368
9/30/1994 0:00,7364.42967,6148
10/31/1994 0:00,7450.63749,5885
11/30/1994 0:00,7452.45081,6508
12/31/1994 0:00,7526.8947,6611
1/31/1995 0:00,7564.86769,6493
2/28/1995 0:00,7510.80073,6661
3/31/1995 0:00,7560.21958,6671
4/30/1995 0:00,7562.19423,6564
5/31/1995 0:00,7584.49439,6363
6/30/1995 0:00,7668.08038,6388
7/31/1995 0:00,7652.88852,6242
8/31/1995 0:00,7696.81077,6318
9/30/1995 0:00,7769.89371,6761
10/31/1995 0:00,7773.7473,6725
11/30/1995 0:00,7775.64827,6313
12/31/1995 0:00,7849.08344,6694
1/31/1996 0:00,7865.5308,6248
2/29/1996 0:00,7877.0949,6570
3/31/1996 0:00,7936.8123,5908
4/30/1996 0:00,8053.25075,7110
5/31/1996 0:00,8038.52097,7168
6/30/1996 0:00,8092.83329,7167
7/31/1996 0:00,8127.65806,7527
8/31/1996 0:00,8151.42923,7127
9/30/1996 0:00,8198.04171,7693
10/31/1996 0:00,8277.61015,7420
11/30/1996 0:00,8310.44256,7763
12/31/1996 0:00,8273.1813,7575
1/31/1997 0:00,8347.40205,8166
2/28/1997 0:00,8426.07956,8343
3/31/1997 0:00,8432.69839,8638
4/30/1997 0:00,8547.02185,9112
5/31/1997 0:00,8509.93449,8814
6/30/1997 0:00,8598.86366,9013
7/31/1997 0:00,8651.51414,10225
8/31/1997 0:00,8684.81446,9764
9/30/1997 0:00,8738.9394,9526
10/31/1997 0:00,8772.34454,9452
11/30/1997 0:00,8758.80274,9982
12/31/1997 0:00,8833.81272,9802
1/31/1998 0:00,8796.05279,8290
2/28/1998 0:00,8917.6299,9599
3/31/1998 0:00,8955.5133,9449
4/30/1998 0:00,8950.6456,9275
5/31/1998 0:00,8977.53059,9812
6/30/1998 0:00,9056.0378,7540
7/31/1998 0:00,9075.21045,7636
8/31/1998 0:00,9125.13334,9597
9/30/1998 0:00,9239.2192,9730
10/31/1998 0:00,9296.90969,10743
11/30/1998 0:00,9339.27325,11021
12/31/1998 0:00,9340.76707,11225
1/31/1999 0:00,9391.97297,11715
2/28/1999 0:00,9446.76757,12556
3/31/1999 0:00,9502.56846,12302
4/30/1999 0:00,9527.48188,11965
5/31/1999 0:00,9567.21108,12483
6/30/1999 0:00,9576.32204,12405
7/31/1999 0:00,9686.28426,11563
8/31/1999 0:00,9685.46156,12269
9/30/1999 0:00,9765.09418,12258
10/31/1999 0:00,9845.18433,12036
11/30/1999 0:00,9915.26218,11831
12/31/1999 0:00,10017.85649,11591
1/31/2000 0:00,9954.66541,11892
2/29/2000 0:00,10023.43353,10875
3/31/2000 0:00,10114.99406,10633
4/30/2000 0:00,10253.60783,10802
5/31/2000 0:00,10261.86676,10091
6/30/2000 0:00,10319.54541,10454
7/31/2000 0:00,10274.52685,9670
8/31/2000 0:00,10379.7312,8538
9/30/2000 0:00,10418.07695,10090
10/31/2000 0:00,10475.14048,9555
11/30/2000 0:00,10481.85454,8988
12/31/2000 0:00,10459.85998,9240
1/31/2001 0:00,10505.1343,7981
2/28/2001 0:00,10501.59155,9218
